channel_id,baseline,rms
0,14956.8,0.599189
1,14968.4,4.12642
2,14983,3.19759
3,15080.8,2.97727
4,15020.5,4.13206
5,14897.8,0.69741
6,14977.8,3.20328
7,14895.4,2.74492
8,15045.9,3.24143
9,14962.5,1.86022
10,14905.7,3.96232
11,14842.2,30.7352
12,14875.3,2.22526
13,15031.7,1.91242
14,14925.8,2.82979
15,15236.2,4.16656
16,14972.8,2.46476
17,14952.5,4.59542
18,15116.4,2.01542
19,14755.1,4.3411
20,14955.1,1.34045
21,14933.5,0.905171
22,15066.9,3.09464
23,14929.2,2.76472
24,14985.4,2.86105
25,14989,3.0123
26,15007.8,0.980864
27,14955.2,3.91335
28,14767.8,3.417
29,14840.2,3.54843
30,15144.5,9.15724
31,14852.3,31.6169
32,14942,4.65125
33,15029.4,44.0897
34,14951.7,4.25991
35,14952.7,1.87908
36,15006.4,3.48837
37,15093.3,4.03978
38,15031.6,3.73484
39,15111.3,2.6291
40,14987.4,0.865175
41,14911.4,2.16754
42,14875.9,0.882142
43,15051.1,3.75478
44,14913.4,2.93758
45,15041,3.06509
46,15066,2.10605
47,14962.8,3.88866
48,14969.7,3.40617
49,15065,2.84877
50,14996.1,0.737276
51,15005.4,2.38708
52,15049.2,0.871706
53,15104.1,0.730447
54,15091.9,2.6089
55,15005.2,2.83559
56,15124.5,2.96811
57,15059.6,1.57022
58,15047.3,1.66313
59,15071.4,0.553328
60,15151.5,0.449027
61,14794.8,1.96793
62,15018.1,3.08606
63,15042.4,2.50151
64,14873.4,0.911867
65,15055.6,2.12668
66,15063.5,2.2433
67,14977.7,2.28388
68,15085.9,2.86546
69,14861.9,2.54531
70,14949.4,1.30802
71,14876.6,0.372675
72,14918.4,1.91605
73,15024.7,2.54161
74,14934.9,0.923877
75,14875.3,0.584782
76,15053.4,0.643074
77,14779.4,0.726689
78,14842,0.96847
79,14899.6,2.2616
80,15002.6,1.96411
81,14931.1,2.09143
82,14933.1,4.23133
83,15077.4,1.86428
84,14829,2.35422
85,15016.6,2.36717
86,14999.2,3.01607
87,14971.4,0.496785
88,15124.7,4.0725
89,15008.7,2.90714
90,15016.1,2.65359
91,-nan,-nan
92,14938,0.841721
93,14962.6,2.38078
94,14987.9,3.38574
95,15087.8,3.77791
96,15034.4,1.14846
97,14883.9,4.92913
98,14915.5,2.22011
99,14942,1.39629
100,14834.1,1.02531
101,15230,0.412701
102,15020.6,3.06442
103,14866,0.517207
104,15040.8,2.14147
105,14874.9,2.55722
106,15099.6,1.67685
107,14866.5,0.722525
108,14871.3,1.93085
109,14912.7,1.13437
110,14990.5,2.60801
111,14821.9,1.65351
112,15073.9,2.73652
113,14940.9,4.26677
114,15098.4,1.69208
115,14968.6,3.31035
116,14940.2,1.70932
117,15113.1,1.44376
118,14899.4,3.62135
119,15097.9,2.03788
120,15068.8,1.53391
121,15102,1.74915
122,15099,2.18008
123,14969.6,3.06806
124,15065.6,2.38236
