,channel_id,pmt_id,set_baseline,meas_baseline
0,0,356,14855,14954.9
1,1,360,14938,14980.6
2,2,359,14824,14980.5
3,3,357,15003,15085.6
4,4,358,14907,15033.4
5,5,353,14810,14897.0
6,6,354,14854,14987.3
7,7,355,14785,14902.5
8,8,351,14884,14973.4
9,9,352,14918,14965.8
10,10,346,14867,14905.0
11,11,350,14764,14851.2
12,12,349,14742,14791.8
13,13,347,14859,14993.8
14,14,348,14830,14928.8
15,15,343,15101,15230.3
16,16,344,14936,14980.3
17,17,345,14864,14933.0
18,18,341,15038,15115.6
19,19,342,14767,14793.8
20,20,336,14892,14975.0
21,21,340,14789,14938.5
22,22,339,14903,15083.4
23,23,337,14735,14826.0
24,24,338,14882,14935.6
25,25,333,14818,15001.3
26,26,334,14874,14994.9
27,27,335,14760,14948.6
28,28,331,14656,14758.3
29,29,332,14771,14894.1
30,30,326,15015,15159.8
31,31,330,14954,14919.7
32,32,329,14805,14867.3
33,33,327,14986,15079.6
34,34,328,14831,14905.3
35,35,323,14925,14990.6
36,36,324,14967,15048.5
37,37,325,14941,15080.3
38,38,321,15022,15074.1
39,39,322,15002,15105.2
40,40,316,14888,15031.7
41,41,320,14860,14995.8
42,42,319,14837,14956.7
43,43,317,15002,15083.9
44,44,318,14841,14885.9
45,45,313,14965,15052.7
46,46,314,14994,15040.1
47,47,315,14827,15015.3
48,48,311,14833,14972.1
49,49,312,14893,14960.7
50,50,306,14922,14980.4
51,51,310,14882,14974.7
52,52,309,14924,14954.4
53,53,307,15032,15230.4
54,54,308,14950,15056.2
55,55,303,14951,15029.4
56,56,304,15010,15130.7
57,57,305,14950,15051.8
58,58,301,14995,15048.5
59,59,302,15034,15041.4
60,60,296,15013,15133.8
61,61,300,14708,14793.0
62,62,299,14957,15048.4
63,63,297,14916,14975.5
64,64,298,14725,14874.7
65,65,293,15008,15059.7
66,66,294,15052,15072.7
67,67,295,14836,14939.9
68,68,291,14968,15163.9
69,69,292,14729,14839.5
70,70,286,14840,14938.5
71,71,290,14835,14853.7
72,72,289,14846,14855.7
73,73,287,14966,15041.7
74,74,288,14766,14832.2
75,75,283,14818,14879.9
76,76,284,15040,15024.2
77,77,285,14715,14771.3
78,78,281,14764,14844.0
79,79,282,14737,14899.9
80,80,276,14857,14927.6
81,81,280,14836,14995.8
82,82,279,14861,14966.1
83,83,277,14981,15062.9
84,84,278,14768,14893.8
85,85,273,14843,14943.3
86,86,274,14896,15032.7
87,87,275,14806,14945.7
88,88,271,14949,15055.1
89,89,272,14954,15117.1
90,90,261,14910,15009.6
91,91,262,14886,14937.7
92,92,263,14835,14973.5
93,93,264,14914,14945.9
94,94,265,14919,14940.7
95,95,269,14976,15069.4
96,96,267,14922,14998.0
97,97,268,14776,14877.0
98,98,266,14942,15028.9
99,99,270,14813,14942.0
100,100,251,14797,14836.8
101,101,252,15187,15238.7
102,102,253,14918,14984.0
103,103,254,14779,14845.6
104,104,255,15053,15080.1
105,105,259,14813,14919.4
106,106,257,15007,15056.8
107,107,258,14796,14839.0
108,108,256,14903,14917.3
109,109,260,14744,14853.4
110,110,241,14853,14969.4
111,111,242,14801,14851.8
112,112,243,15036,15108.7
113,113,244,14914,14938.7
114,114,245,14917,15095.5
115,115,249,14771,14967.3
116,116,247,14810,14912.4
117,117,248,14951,15105.6
118,118,246,14858,14895.7
119,119,250,15048,15101.7
120,120,231,14845,15004.9
121,121,232,14898,15090.7
122,122,233,14794,15107.1
123,123,234,14978,14983.5
124,124,235,14842,15046.4
125,125,239,14806,15028.9
126,126,237,14847,15144.8
127,127,238,14937,15102.6
128,128,236,14901,15061.7
129,129,240,14841,15103.1
130,130,221,14779,14890.8
